iter	Logloss
0	0.6479078047
1	0.6114427381
2	0.5825068481
3	0.5575895566
4	0.5370985568
5	0.5204592525
6	0.5061394996
7	0.4933297988
8	0.4791025123
9	0.4672961168
10	0.4605505684
11	0.4517065347
12	0.4436831356
13	0.437669649
14	0.4335233926
15	0.4272964192
16	0.4197605412
17	0.4120364195
18	0.4061693067
19	0.4005564486
20	0.393954707
21	0.3898958941
22	0.3854784703
23	0.3813995263
24	0.3763833187
25	0.3727567986
26	0.3680697497
27	0.3631299426
28	0.3602071748
29	0.3574310498
30	0.3530363874
31	0.3503762009
32	0.3491932254
33	0.3465382793
34	0.3443718438
35	0.3412023705
36	0.3395037967
37	0.3378919898
38	0.3361541375
39	0.3332959901
40	0.3308749018
41	0.32813853
42	0.3260781331
43	0.3236660188
44	0.3210801769
45	0.319966242
46	0.3152583858
47	0.3143242654
48	0.3129629047
49	0.3110367475
50	0.3093255326
51	0.3071642528
52	0.3039659868
53	0.3034849419
54	0.3008978499
55	0.2995723803
56	0.2979892992
57	0.2975395756
58	0.2970062912
59	0.293266753
60	0.2905495792
61	0.2883080839
62	0.2871003659
63	0.2843977529
64	0.2817953256
65	0.2803617539
66	0.2782107632
67	0.2776892875
68	0.2772325301
69	0.27630809
70	0.2744561453
71	0.274164875
72	0.2736952736
73	0.2732059353
74	0.2718393483
75	0.2706586383
76	0.2703451124
77	0.2693994
78	0.2682407026
79	0.2679699861
80	0.2674150421
81	0.266683529
82	0.2663747765
83	0.2660175198
84	0.265673802
85	0.2648860327
86	0.2631614452
87	0.2628347217
88	0.26218989
89	0.2617481538
90	0.2614546571
91	0.2607773811
92	0.2599779634
93	0.2594130181
94	0.2584253455
95	0.2572087316
96	0.2568177451
97	0.2560825975
98	0.2552155079
99	0.2543470439
100	0.2539203041
101	0.2537297023
102	0.2532134456
103	0.251967149
104	0.2517591429
105	0.2512362562
106	0.2507887306
107	0.2504391347
108	0.2500398454
109	0.2498375605
110	0.2495599455
111	0.2493885948
112	0.2491965686
113	0.2489194153
114	0.248682918
115	0.2476992421
116	0.2469958528
117	0.2467813871
118	0.2456719728
119	0.2450243272
120	0.2448530444
121	0.2446276535
122	0.2444278796
123	0.2442145608
124	0.2436271561
125	0.2427634456
126	0.2425675922
127	0.2421777309
128	0.2420315833
129	0.2416657705
130	0.2408567311
131	0.2405901054
132	0.2401185298
133	0.239103077
134	0.2386807948
135	0.2380015545
136	0.237784548
137	0.2375841795
138	0.2369863371
139	0.236831668
140	0.2366597295
141	0.2362772444
142	0.2359615625
143	0.2358088993
144	0.2356625452
145	0.2355164114
146	0.2348273509
147	0.234250836
148	0.2338674966
149	0.2337266156
150	0.2335563811
151	0.2334543218
152	0.2332656597
153	0.2331230456
154	0.2328521367
155	0.2326187991
156	0.2324521427
157	0.2323217449
158	0.2322022901
159	0.2320696233
160	0.2318280547
161	0.2315964035
162	0.2314057716
163	0.231287343
164	0.2311265105
165	0.2309766479
166	0.2308398988
167	0.2305962998
168	0.2303126479
169	0.230009073
170	0.2298205008
171	0.2295642304
172	0.229220617
173	0.2288325923
174	0.2286657218
175	0.2284841984
176	0.2283346105
177	0.2281777651
178	0.2280301589
179	0.2278714336
180	0.2265782465
181	0.2257266667
182	0.2252883232
183	0.2249027646
184	0.2248110187
185	0.224689981
186	0.2245682804
187	0.2244301686
188	0.2243093149
189	0.2238787902
190	0.2235980346
191	0.223429839
192	0.2233160627
193	0.2231873878
194	0.2230860228
195	0.2230003915
196	0.2229044735
197	0.2227757558
198	0.2225739198
199	0.22248042
200	0.2222963859
201	0.2221714932
202	0.2220689758
203	0.2219420075
204	0.2218261652
205	0.2217283067
206	0.2216306889
207	0.2215392298
208	0.2214293604
209	0.221268704
210	0.2209751587
211	0.2208780088
212	0.2207389697
213	0.2206193743
214	0.2205040315
215	0.2204112816
216	0.2203462486
217	0.2202318235
218	0.2200737859
219	0.2199623057
220	0.2198460691
221	0.2196676536
222	0.2195208054
223	0.2194109845
224	0.2192562328
225	0.2191526264
226	0.2190571872
227	0.2189659527
228	0.2188626913
229	0.2187569942
230	0.218554172
231	0.2184406061
232	0.2183705476
233	0.2182349106
234	0.2181395831
235	0.218024182
236	0.2179307569
237	0.2178339191
238	0.2174983431
239	0.2174024982
240	0.2173316993
241	0.2172318725
242	0.2171355097
243	0.2170368668
244	0.2169617673
245	0.2168669648
246	0.2168016847
247	0.2167227997
248	0.216607724
249	0.2164614846
250	0.2163546885
251	0.2162608258
252	0.2161731771
253	0.2160952354
254	0.2158719447
255	0.2155792129
256	0.2154932679
257	0.2153878692
258	0.2153105204
259	0.2152174361
260	0.2151243146
261	0.2150243267
262	0.214955792
263	0.2147347849
264	0.2146359623
265	0.214580967
266	0.2144828701
267	0.2143880313
268	0.2142986849
269	0.2142095813
270	0.2141117895
271	0.2140419354
272	0.2139776706
273	0.2138844086
274	0.2136889038
275	0.2134459432
276	0.2133714779
277	0.2132814346
278	0.2131924018
279	0.2131248778
280	0.2128390698
281	0.212759861
282	0.2126717373
283	0.2125862035
284	0.2125152586
285	0.2124512835
286	0.2123549709
287	0.2122866144
288	0.212185187
289	0.2121137991
290	0.212051947
291	0.2119796778
292	0.21191943
293	0.2117851754
294	0.2116898399
295	0.2115805687
296	0.2114908324
297	0.2113887512
298	0.2113201651
299	0.2112492601
300	0.2111798898
301	0.2110782486
302	0.2109979106
303	0.2109262111
304	0.2108384242
305	0.210751993
306	0.2106729783
307	0.2105713302
308	0.2105170172
309	0.2104232189
310	0.2103472448
311	0.2102815631
312	0.2102012364
313	0.2101392597
314	0.2100470369
315	0.209978122
316	0.2098316975
317	0.2097427634
318	0.2096860101
319	0.209585392
320	0.2095277397
321	0.2094327647
322	0.209378957
323	0.2093182109
324	0.2091556657
325	0.2090829391
326	0.2090155165
327	0.2089415107
328	0.2088511459
329	0.208672434
330	0.2085858508
331	0.2085253812
332	0.2084233878
333	0.2083635171
334	0.2083100647
335	0.2082334168
336	0.208152025
337	0.2080865829
338	0.208002921
339	0.2079340657
340	0.2078622798
341	0.2077615361
342	0.2076681584
343	0.2076181356
344	0.2075582815
345	0.207474662
346	0.2074176634
347	0.2073343991
348	0.2072588493
349	0.207193947
350	0.2071418877
351	0.2070415919
352	0.2069700965
353	0.2068712741
354	0.2068177071
355	0.2067457148
356	0.2066695696
357	0.2066018492
358	0.2065515239
359	0.2064448038
360	0.2063901162
361	0.2063132199
362	0.2062294956
363	0.2061621942
364	0.2060877057
365	0.2059967348
366	0.2059046012
367	0.2058167335
368	0.205733222
369	0.2055899478
370	0.2055193139
371	0.2054362258
372	0.2053599231
373	0.2052806035
374	0.2051962107
375	0.2051318561
376	0.2050617232
377	0.2049833142
378	0.2049055235
379	0.2048535206
380	0.2047886266
381	0.2047204082
382	0.204662934
383	0.2045789307
384	0.2045258016
385	0.2044580487
386	0.2043454106
387	0.2042807358
388	0.2041960927
389	0.2041293329
390	0.2040803518
391	0.2040080877
392	0.203937611
393	0.2038636594
394	0.2037932981
395	0.2037366619
396	0.2036624695
397	0.2034715014
398	0.2034166171
399	0.2033626015
400	0.2033100923
401	0.2031986138
402	0.2031503301
403	0.2030813483
404	0.2030391579
405	0.2029953743
406	0.2029291827
407	0.2028392887
408	0.2026691669
409	0.2026156055
410	0.2025400386
411	0.2024558094
412	0.2023772069
413	0.2023207375
414	0.2022469129
415	0.202166535
416	0.2021193835
417	0.2020543105
418	0.2019800702
419	0.2019002597
420	0.2018438606
421	0.2017802
422	0.201733398
423	0.2016618617
424	0.2015940762
425	0.2015548201
426	0.2014999602
427	0.2014539398
428	0.2013845409
429	0.2012977982
430	0.2012438268
431	0.2011656503
432	0.2011120025
433	0.2010449357
434	0.2009866758
435	0.200946262
